userId,avg.rating,avg.action.scifi,rating
421,2.9574468085106385,2,2
422,3.976470588235294,3,3
426,3.3366141732283463,3.5,3.5
428,3.7379518072289155,4,4
430,3.9508196721311477,4.5,4.5
433,3.8333333333333335,4.5,4.5
434,3.6875,4,4
435,4.217391304347826,5,5
439,3.0730769230769233,2.5,4
440,3.675,5,5
442,4.224444444444444,4,4
443,4.85,5,5
448,4.75,5,5
452,3.189179104477612,4,4
453,3.5697674418604652,3.5,4
455,3.6774193548387095,4.5,4.5
457,2.502805049088359,2,3.5
461,2.839080459770115,4.25,5
463,3.358178053830228,3,4
466,3.7962962962962963,3.25,3
471,3.634259259259259,3.25,4.5
472,3.7873493975903614,2,2
475,2.761832061068702,2.8,4.5
480,3.998677248677249,4.833333333333333,5
483,3.5798319327731094,4.333333333333333,4
486,3.6268115942028984,3,4
495,4.08,4,4
496,3.9126984126984126,5,5
502,3.9557522123893807,5,5
505,3.2721518987341773,3,3
509,3.366738894907909,2,2
512,4.2407407407407405,3,3
516,3.4630872483221475,4,4
517,4.285714285714286,4,4
518,3.572842998585573,3.25,4
519,4.403125,4.5,4.5
523,4.035714285714286,5,5
525,3.6594202898550723,4,5
532,3.676470588235294,4,4
533,3.3496932515337425,2.8,4
534,3.6402640264026402,3,3
535,3.015873015873016,4,4
544,4.472014925373134,4.5,4.5
545,3.902173913043478,3,3
550,3.585185185185185,3,4
551,3.4,4,4
552,2.710526315789474,2,2
553,4,3.25,2.5
555,3.1733333333333333,4,4
559,4.4186046511627906,5,5
560,3.91,4,4
562,4.017786561264822,4.5,5
564,3.5524625267665955,3.3076923076923075,5
565,3.7037037037037037,4,4
567,4.3088235294117645,5,5
568,4.135135135135135,5,5
570,3.66015625,1.5,1.5
574,3.5116959064327484,2.625,4
577,4.345878136200717,4.166666666666667,4.5
580,3.272776572668113,3,4.5
585,4.25,3,3
588,3.673076923076923,3,3
589,3.604651162790698,4,4
590,3.4831460674157304,4,4
592,3.8796992481203008,3.5,5
593,3.942857142857143,4,4
596,3.6262833675564683,2.6666666666666665,4
597,4.014851485148514,4,5
598,3.4358974358974357,2.3333333333333335,4
602,3.635658914728682,4,4
603,3.8684210526315788,5,5
607,3.6533957845433256,2.25,3.5
608,3.949324324324324,4,4
614,3.676767676767677,3,3
615,3.602597402597403,3,4
621,3.9263157894736844,1.5,1.5
623,4.067961165048544,3.5,3.5
624,2.894236311239193,2.1,3
627,3.1469072164948453,4,4
628,3.103448275862069,3,3
629,3.4411764705882355,1,1
632,4.166666666666667,5,5
633,3.125,3,3
641,3.9,4,4
647,4.273333333333333,4,4
649,3.511111111111111,4,4
654,4.068690095846645,3.5833333333333335,5
659,3.387323943661972,5,5
664,3.796724470134875,3.6666666666666665,4.5
666,2.95,3,3
671,3.917391304347826,4,5
